day,hourlon,lat,age,r,,action,playerId,gameId
14811,17.159325,0.0,0.0,0,NA,"createMember.done","P515","GA506"
14812,19.493876,-0.12103736400604248,51.57578408718109,0,16206,"CreateMemberButton","P536","GA513"
14812,19.494705,-0.12103736400604248,51.57578408718109,0,16206,"createMember.done","P536","GA513"
14812,19.504446,-0.1210319995880127,51.57578408718109,0,16206,"placeMember.done","P536","GA513"
14812,19.64097,-0.12100517749786377,51.57579481601715,0,16205,"carryMember.done","P536","GA513"
14812,19.647842,-0.12100517749786377,51.57579481601715,0,16205,"CommunitiesButton","P536","GA513"
14812,19.64891,-0.12100517749786377,51.57579481601715,0,16205,"placeMember.done","P536","GA513"
14812,19.654161,-0.12100517749786377,51.57579481601715,0,16205,"CreateMemberButton","P536","GA513"
14812,19.655437,-0.12099981307983398,51.57579481601715,0,16205,"createMember.done","P536","GA513"
14812,19.665842,-0.12099981307983398,51.57580018043518,0,16205,"CommunitiesButton","P536","GA513"
14812,19.66686,-0.12099981307983398,51.57580018043518,0,16205,"placeMember.done","P536","GA513"
14812,19.668009,-0.12099981307983398,51.57580018043518,0,16205,"CreateMemberButton","P536","GA513"
14812,19.672445,-0.1209944486618042,51.57580018043518,0,16205,"createMember.done","P536","GA513"
14812,19.687317,-0.1209944486618042,51.57580018043518,0,16205,"CreateMemberButton","P536","GA513"
14812,19.688602,-0.1209944486618042,51.57580018043518,0,16205,"createMember.done","P536","GA513"
14812,19.691486,-0.12098371982574463,51.57581090927124,0,16205,"placeMember.failed","P536","GA513"
14812,19.807089,-0.12097299098968506,51.57581627368927,0,16205,"CommunitiesButton","P536","GA513"
14812,19.866924,-0.12096762657165527,51.5758216381073,0,16205,"carryMember.done","P536","GA513"
14813,11.745317,0.06827294826507568,51.49486184120178,0,596,"CreateMemberButton","P544","GA514"
14813,11.74726,0.06824612617492676,51.49487257003784,0,597,"createMember.done","P544","GA514"
14813,11.750824,0.06806373596191406,51.49487257003784,0,597,"CommunitiesButton","P544","GA514"
14813,11.753041,0.06785452365875244,51.49486720561981,0,596,"placeMember.done","P544","GA514"
14813,11.761657,0.06733953952789307,51.494808197021484,0,591,"CommunitiesButton","P544","GA514"
14813,11.827093,0.06672263145446777,51.49267852306366,0,363,"CommunitiesButton","P544","GA514"
14813,11.861781,0.0657033920288086,51.49141788482666,0,265,"CommunitiesButton","P544","GA514"
14813,11.908338,0.06406188011169434,51.489830017089844,0,274,"CreateStoryButton","P544","GA514"
14813,12.083048,0.06806373596191406,51.489298939704895,0,22,"CommunitiesButton","P544","GA514"
14813,12.262775,0.07026314735412598,51.49363338947296,0,485,"CommunitiesButton","P544","GA514"
14813,12.268862,0.07026314735412598,51.49363338947296,0,485,"CreateStoryButton","P544","GA514"
14813,12.298758,0.07026314735412598,51.49363875389099,0,486,"addStory.failed","P544","GA514"
14813,12.310844,0.07026314735412598,51.49363875389099,0,486,"addStory.failed","P544","GA514"
14813,12.314616,0.07026314735412598,51.49363875389099,0,486,"addStory.failed","P544","GA514"
14813,12.318576,0.07026314735412598,51.49363875389099,0,486,"addStory.started","P544","GA514"
14813,12.415842,0.07026314735412598,51.49363875389099,0,486,"CommunitiesButton","P544","GA514"
14813,12.4908,0.07029533386230469,51.49368703365326,8,492,"CommunitiesButton","P544","GA514"
14813,13.131753,0.06965696811676025,51.49325788021088,0,433,"CreateMemberButton","P545","GA515"
14813,13.132269,0.06954967975616455,51.493016481399536,0,405,"createMember.failed","P545","GA515"
14813,13.149969,0.06950676441192627,51.49214744567871,0,312,"createMember.done","P545","GA515"
14813,13.172742,0.06947457790374756,51.491777300834656,0,273,"placeMember.done","P545","GA515"
14813,13.202594,0.06909370422363281,51.491321325302124,0,216,"CommunitiesButton","P545","GA515"
14813,14.193597,0.06817638874053955,51.489545702934265,0,14,"CreateMemberButton","P552","GA516"
14813,14.196312,0.06817102432250977,51.489534974098206,0,13,"createMember.done","P552","GA516"
14813,14.206841,0.06817102432250977,51.489534974098206,0,13,"CreateMemberButton","P552","GA516"
14813,14.20791,0.06817102432250977,51.489529609680176,0,13,"createMember.failed","P552","GA516"
14813,14.210126,0.06817102432250977,51.489518880844116,0,12,"createMember.failed","P552","GA516"
14813,14.213983,0.06817102432250977,51.489518880844116,0,12,"createMember.failed","P552","GA516"
14813,14.217217,0.06817102432250977,51.489513516426086,0,12,"createMember.failed","P552","GA516"
14813,14.219612,0.06817102432250977,51.48950815200806,0,12,"createMember.failed","P552","GA516"
14813,14.222606,0.06817102432250977,51.48950815200806,0,12,"createMember.failed","P552","GA516"
14813,14.235512,0.06817102432250977,51.48950278759003,0,12,"createMember.failed","P552","GA516"
14813,14.24248,0.06817102432250977,51.48950278759003,0,12,"createMember.failed","P552","GA516"
14813,14.244483,0.06817102432250977,51.48950278759003,0,12,"createMember.failed","P552","GA516"
14813,14.247016,0.06805837154388428,51.48938477039337,0,13,"createMember.failed","P552","GA516"
14813,14.251113,0.06804764270782471,51.48937940597534,0,13,"createMember.failed","P552","GA516"
14813,14.260567,0.06804764270782471,51.48937404155731,0,14,"createMember.failed","P552","GA516"
14813,14.320904,0.06804764270782471,51.48937940597534,0,13,"createMember.failed","P552","GA516"
14813,14.362563,0.06804764270782471,51.48937940597534,0,13,"createMember.failed","P552","GA516"
