day,hour,gametime,zone,lon,lat,age,r,dist,action,playerId,gameId,year
14812,6.922347545623779,415.34088333333335,,-1.1564183235168457,52.97609567642212,0,185010,5,"move","P521","GA507",NA
14812,6.922626495361328,415.3576,,-1.1564505100250244,52.97615468502045,0,185017,6,"move","P521","GA507",NA
14812,6.9229044914245605,415.37426666666664,,-1.1564183235168457,52.976229786872864,0,185024,8,"move","P521","GA507",NA
14812,6.923213958740234,415.39283333333333,,-1.156412959098816,52.97627806663513,0,185028,5,"move","P521","GA507",NA
14812,6.923773288726807,415.4263833333333,,-1.1563968658447266,52.97633707523346,0,185034,6,"move","P521","GA507",NA
14812,6.92689323425293,415.6136,,-1.1563271284103394,52.97636389732361,0,185034,5,"move","P521","GA507",NA
14812,6.927731037139893,415.66386666666665,,-1.1562573909759521,52.97632098197937,0,185028,6,"move","P521","GA507",NA
14812,6.9282307624816895,415.6938333333333,,-1.156235933303833,52.976202964782715,0,185015,13,"move","P521","GA507",NA
14812,6.9284586906433105,415.70755,,-1.1562198400497437,52.97614395618439,0,185009,6,"move","P521","GA507",NA
14812,6.928736686706543,415.7241833333333,,-1.1562037467956543,52.97607958316803,0,185002,7,"move","P521","GA507",NA
14812,6.929012298583984,415.7407333333333,,-1.156187653541565,52.97599375247955,0,184993,9,"move","P521","GA507",NA
14812,6.92929220199585,415.7575166666667,,-1.1561501026153564,52.97589182853699,0,184982,11,"move","P521","GA507",NA
14812,6.929562091827393,415.77375,,-1.156112551689148,52.97578454017639,0,184970,12,"move","P521","GA507",NA
14812,6.929845333099365,415.7907333333333,,-1.1560803651809692,52.975677251815796,0,184959,12,"move","P521","GA507",NA
14812,6.930125713348389,415.8075333333333,,-1.1560535430908203,52.97557532787323,0,184948,11,"move","P521","GA507",NA
14812,6.930429935455322,415.82578333333333,,-1.156010627746582,52.97549486160278,0,184938,9,"move","P521","GA507",NA
14812,6.9307332038879395,415.8439833333333,,-1.1559784412384033,52.97539830207825,0,184928,10,"move","P521","GA507",NA
14812,6.9309868812561035,415.8592,,-1.1559516191482544,52.97531247138977,0,184919,9,"move","P521","GA507",NA
14812,6.931264400482178,415.8758833333333,,-1.1559247970581055,52.975232005119324,0,184910,9,"move","P521","GA507",NA
14812,6.9315409660339355,415.89248333333336,,-1.155887246131897,52.97516226768494,0,184902,8,"move","P521","GA507",NA
14812,6.931819915771484,415.9092166666667,,-1.1558443307876587,52.97509253025055,0,184894,8,"move","P521","GA507",NA
14812,6.932143211364746,415.92861666666664,,-1.1558175086975098,52.97503888607025,0,184888,6,"move","P521","GA507",NA
14812,6.93237829208374,415.9427,,-1.1557799577713013,52.97499060630798,0,184882,5,"move","P521","GA507",NA
14812,6.932671546936035,415.9603,,-1.1557316780090332,52.974936962127686,0,184875,6,"move","P521","GA507",NA
14812,6.932994842529297,415.9797,,-1.1557155847549438,52.97488868236542,0,184870,5,"move","P521","GA507",NA
14812,6.9334588050842285,416.00755,,-1.1556726694107056,52.97478675842285,0,184858,11,"move","P521","GA507",NA
14812,6.9337687492370605,416.02613333333335,,-1.1556458473205566,52.974722385406494,0,184851,7,"move","P521","GA507",NA
